publicatie_status,titel,rol,org_naam,org_url,org_logo,url,aanpak,omschrijving,van,tot,skills,star,tags
live,Media Injection Platform Refactoring,Platform Architect,Media Injection,https://www.linkedin.com/company/media-injection/,https://media.licdn.com/dms/image/C4D0BAQGvZ6SgkrnBAA/company-logo_200_200/0/1631345772699?e=1708560000&v=beta&t=Byx3ueYnvfV2w6VflPfdDx6W9KC--Dq-FGFjgy98vDE,https://www.mediainjection.com/,null,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,startup
live,Media Injection Mobile App,Product Lead,Media Injection,https://www.linkedin.com/company/media-injection/,https://media.licdn.com/dms/image/C4D0BAQGvZ6SgkrnBAA/company-logo_200_200/0/1631345772699?e=1708560000&v=beta&t=Byx3ueYnvfV2w6VflPfdDx6W9KC--Dq-FGFjgy98vDE,https://www.mediainjection.com/,null,Outsourcing aansturen,jan. 1900,jan. 1900,null,,startup
live,Media Library,Product Lead,Media Injection,https://www.linkedin.com/company/media-injection/,https://media.licdn.com/dms/image/C4D0BAQGvZ6SgkrnBAA/company-logo_200_200/0/1631345772699?e=1708560000&v=beta&t=Byx3ueYnvfV2w6VflPfdDx6W9KC--Dq-FGFjgy98vDE,https://www.mediainjection.com/,null,Ontwikkelen media library en browser extentie,jan. 1900,jan. 1900,null,,startup
live,The Next Ad,"Kwartiermaker, Product Lead",The Next Ad,https://www.linkedin.com/company/the-next-ad/,https://media.licdn.com/dms/image/C560BAQHHJYunQhUg8Q/company-logo_200_200/0/1631373568693?e=1708560000&v=beta&t=Iiqhtz8FIRQ-_c227PVHItzgiWG4azsuC3csJwkijcQ,https://nl.thenextad.com/,null,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,startup
live,Datapunt Amsterdam,"Technisch Adviseur, API Architect",Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,https://data.amsterdam.nl/,Kwartiermaken,"Opstarten van Datalab Amsterdam, dé data- en innovatiewerkplaats van de Gemeente Amsterdam. Eerste in zijn soort, daarna veel navolging gekregen. Intake en advies, methodeontwikkeling, productstrategie.",jan. 1900,jan. 1900,"strategie, productstrategie",,"datagedrevenwerken,startup,innovatie"
live,Datalab Amsterdam,"Kwartiermaker, Strategisch Adviseur",Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,https://www.amsterdam.nl/bestuur-organisatie/organisatie/overige/datalab-amsterdam/,Kwartiermaken,"Opstarten van Datalab Amsterdam, dé data- en innovatiewerkplaats van de Gemeente Amsterdam. Eerste in zijn soort, daarna veel navolging gekregen. Intake en advies, methodeontwikkeling, productstrategie.",jan. 1900,jan. 1900,"strategie, productstrategie",,"datagedrevenwerken,startup,innovatie"
live,Fixxx “Straatnotes”,Product Lead,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,,Agile Development,"veilige communicatie straatcoaches, slimme analyse",jan. 1900,jan. 1900,null,,"datagedrevenwerken,privacybydesign,commonground,innovatie,fixxx"
live,Fixxx “Tourbuzz”,"Product Lead, Tech Lead",Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,,Agile Development,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,"datagedrevenwerken,commonground,innovatie,fixxx"
live,Fixxx “Overlast Rembrandtplein”,Concept Design,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,,Agile Development,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,"datagedrevenwerken,commonground,innovatie,fixxx"
live,NL Design System,"Kwartiermaker, Tech Lead",Ministerie van Algemene Zaken,https://www.linkedin.com/company/ministry-of-general-affairs/,https://media.licdn.com/dms/image/C560BAQGmRQo0xRvz9w/company-logo_200_200/0/1519856929117?e=1694649600&v=beta&t=5CCtpzBzHVM7b-d6YbYs3efqwu-eNxFI428L1k2_1yY,https://www.nldesignsystem.nl,Open Samenwerking,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,"strategie, community-ontwikkeling, community management",,"commonground,communityofpractice,innovatie"
live,Kennisloods Rotterdam,Coach Kwartiermaker,Gemeente Rotterdam,https://www.linkedin.com/company/gemeente-rotterdam/,https://media.licdn.com/dms/image/C4E0BAQGMKTff1Ydxow/company-logo_200_200/0/1609745623465?e=1694649600&v=beta&t=xilrnDVs2BudXp97QDOmcrQStnx3qk8vnTMT9BjJWYU,,Kwartiermaken,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,innovatie
live,Andreas Open Raadsinformatie,Concept Design,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,,Design Sprint,Andreas is het systeem voor raadsinformatie van de Gemeente Amsterdam. In deze explore ontwikkelden wij in co-creatie met potentiële afnemers een aantal concepten voor beter gebruik van open raadsinformatie.,jan. 1900,jan. 1900,"design thinking,",,innovatie
