publicatie_status,titel,org_naam,org_url,org_logo,rol,domein,type,status,aanpak,omschrijving,begin,einde,duur,sort-jaar,standplaats,vaardigheden,url,tags
concept,The Next Ad,The Next Ad,https://www.linkedin.com/company/the-next-ad/,https://media.licdn.com/dms/image/C560BAQHHJYunQhUg8Q/company-logo_200_200/0/1519895137255?e=1684368000&v=beta&t=s0vF7d38B1eGFruvC8fakR6nYYoMCFTiylawBFD-VCI,Product Lead,null,null,archief,null,Dit project is nog niet goed omschreven.,null,null,null,2013,null,null,,startup
concept,Media Injection App,Media Injection,https://www.linkedin.com/company/media-injection/,https://media.licdn.com/dms/image/C4D0BAQGvZ6SgkrnBAA/company-logo_200_200/0/1519926607932?e=1684368000&v=beta&t=ZVOZnzNoLfK_QJUPw10wcxP9BW0igpMPGXPd86lWFdg,Product Lead,null,null,archief,null,Outsourcing aansturen,null,null,null,2014,null,null,,startup
concept,Media Injection,Media Injection,https://www.linkedin.com/company/media-injection/,https://media.licdn.com/dms/image/C4D0BAQGvZ6SgkrnBAA/company-logo_200_200/0/1519926607932?e=1684368000&v=beta&t=ZVOZnzNoLfK_QJUPw10wcxP9BW0igpMPGXPd86lWFdg,Adviseur Architectuur,null,null,archief,null,Dit project is nog niet goed omschreven.,null,null,null,2013,null,null,,startup
concept,Media Library,Media Injection,https://www.linkedin.com/company/media-injection/,https://media.licdn.com/dms/image/C4D0BAQGvZ6SgkrnBAA/company-logo_200_200/0/1519926607932?e=1684368000&v=beta&t=ZVOZnzNoLfK_QJUPw10wcxP9BW0igpMPGXPd86lWFdg,Product Lead,null,null,archief,null,Ontwikkelen media library en browser extentie,null,null,null,2013,null,null,,startup
live,Datapunt Amsterdam,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,Adviseur Architectuur,datalab amsterdam,in opdracht,afgerond,Kwartiermaken,"Opstarten van Datalab Amsterdam, dé data- en innovatiewerkplaats van de Gemeente Amsterdam. Eerste in zijn soort, daarna veel navolging gekregen. Intake en advies, methodeontwikkeling, productstrategie.",null,null,null,2015,null,"strategie, productstrategie",https://data.amsterdam.nl/,"datagedrevenwerken,startup,innovatie"
live,Datalab Amsterdam,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,Kwartiermaker,datalab amsterdam,in opdracht,afgerond,Kwartiermaken,"Opstarten van Datalab Amsterdam, dé data- en innovatiewerkplaats van de Gemeente Amsterdam. Eerste in zijn soort, daarna veel navolging gekregen. Intake en advies, methodeontwikkeling, productstrategie.",null,null,null,2015,null,"strategie, productstrategie",https://www.amsterdam.nl/bestuur-organisatie/organisatie/overige/datalab-amsterdam/,"datagedrevenwerken,startup,innovatie"
live,Fixxx “Straatnotes”,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,"Concept Design, Tech Lead",straatnotes,null,null,Agile Development,"veilige communicatie straatcoaches, slimme analyse",null,null,null,2016,null,null,,"datagedrevenwerken,privacybydesign,commonground,innovatie,fixxx"
live,Fixxx “Tourbuzz”,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,"Concept Design, Tech Lead",null,null,null,Agile Development,Dit project is nog niet goed omschreven.,null,null,null,2016,null,null,,"datagedrevenwerken,commonground,innovatie,fixxx"
live,Fixxx “Overlast Rembrandtplein”,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,"Concept Design, Tech Lead",null,null,null,Agile Development,Dit project is nog niet goed omschreven.,null,null,null,2016,null,null,,"datagedrevenwerken,commonground,innovatie,fixxx"
live,NL Design System,Ministerie van Algemene Zaken,https://www.linkedin.com/company/ministry-of-general-affairs/,https://media.licdn.com/dms/image/C560BAQGmRQo0xRvz9w/company-logo_200_200/0/1519856929117?e=1694649600&v=beta&t=5CCtpzBzHVM7b-d6YbYs3efqwu-eNxFI428L1k2_1yY,Kwartiermaker,code for nl,in opdracht,afgerond,Open Samenwerking,Dit project is nog niet goed omschreven.,null,null,null,2017,"Den Haag, Nederland","strategie, community-ontwikkeling, community management",https://www.nldesignsystem.nl,"commonground,communityofpractice,innovatie"
